acousticness,billboard_artist,billboard_df_index,billboard_name,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.513,martha and the vandellas,425.0,heat wave,0.514,163053.0,0.624,0.0,3VgrSJEKBRT3xmwzpaxxEF,0.00517,0.0,0.307,-9.287,0.0,64.0,1963,0.0842,Heat Wave,Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,166.726,4.0,audio_features,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,0.755
0.432,randy and the rainbows,426.0,denise,0.547,118413.0,0.678,0.0,2uyTuHLAB3unDK1vkjViH5,0.0,5.0,0.114,-9.841,0.0,42.0,2010-01-01,0.0416,Lost Hits Of The 60's (All Original Artists & Versions),Randy & The Rainbows,Denise,125.883,4.0,audio_features,spotify:track:2uyTuHLAB3unDK1vkjViH5,0.895
0.791,the rooftop singers,427.0,walk right in,0.681,157267.0,0.66,0.0,4WhT2YADjcU58IUgroWZQZ,0.0364,3.0,0.0669,-10.426,1.0,45.0,2007-01-01,0.0319,Vanguard Visionaries,The Rooftop Singers,Walk Right In,130.019,4.0,audio_features,spotify:track:4WhT2YADjcU58IUgroWZQZ,0.965
0.695,jimmy soul,428.0,if you wanna be happy,0.673,143000.0,0.866,0.0,7D97JnBT73FWUh9KmRvP9M,0.000231,10.0,0.328,-8.34,1.0,50.0,2012-01-10,0.0391,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",Jimmy Soul,If You Wanna Be Happy,93.224,4.0,audio_features,spotify:track:7D97JnBT73FWUh9KmRvP9M,0.839
0.623,trini lopez,429.0,if i had a hammer,0.468,179400.0,0.933,0.0,44Btht5msS0IQ7o2DZuFdu,0.0,11.0,0.952,-8.937,0.0,48.0,2005-12-20,0.0852,Rhino Hi-Five: Trini Lopez,Trini Lopez,If I Had a Hammer,85.505,4.0,audio_features,spotify:track:44Btht5msS0IQ7o2DZuFdu,0.867
0.486,the essex,430.0,easier said than done,0.796,126040.0,0.475,0.0,6oF9Fijj6s6AApMT1oW6nf,1.52e-06,4.0,0.195,-11.216,1.0,10.0,2009-01-30,0.0435,The Roulette Story,The Essex,Easier Said Than Done,136.463,4.0,audio_features,spotify:track:6oF9Fijj6s6AApMT1oW6nf,0.883
0.848,dion dimucci,431.0,ruby baby,0.625,156707.0,0.491,0.0,19OfFnyz55W1eEZ82g2j6G,0.0,4.0,0.17,-13.578,1.0,28.0,1992-04-13,0.0621,Bronx Blues: The Columbia Recordings,Dion,Ruby Baby,121.559,4.0,audio_features,spotify:track:19OfFnyz55W1eEZ82g2j6G,0.696
0.708,ruby and the romantics,432.0,our day will come,0.538,154707.0,0.625,0.0,3ngYXFSYtF5mHguNCA3JZ0,0.000126,8.0,0.128,-7.722,1.0,43.0,1963-01-01,0.045,Our Day Will Come,Ruby And The Romantics,Our Day Will Come,92.422,4.0,audio_features,spotify:track:3ngYXFSYtF5mHguNCA3JZ0,0.718
0.743,barbara lewis,433.0,hello stranger,0.458,166960.0,0.164,0.0,7v8YDCoM60xCPuSbXerImD,0.0,0.0,0.125,-23.883,1.0,55.0,1963-01-01,0.0304,Hello Stranger,Barbara Lewis,Hello Stranger,103.32,4.0,audio_features,spotify:track:7v8YDCoM60xCPuSbXerImD,0.82
0.181,the ronettes,434.0,be my baby,0.511,160907.0,0.769,0.0,2G2YzndIA6jeWFPBXhUjh5,0.0,4.0,0.0921,-7.032,1.0,72.0,2011-02-22,0.042,Be My Baby: The Very Best of The Ronettes,The Ronettes,Be My Baby,129.657,4.0,audio_features,spotify:track:2G2YzndIA6jeWFPBXhUjh5,0.818
